Extrato por período
Cliente:	CONDOMINIO XXXXXXX
Conta: XXXX / XXX / XXXXXXXX-X
Mês:	Setembro/2017
Período:	1 - 30

Extrato
Data Mov.	Nr. Doc.	Histórico	Valor	Saldo
11/09/2017	060917	COB C BANC	185,20 C	10.763,92 C
11/09/2017	060917	COB AUTOAT	192,55 C	10.956,47 C
11/09/2017	902270	CHEQ COMP	5.880,00 D	5.076,47 C
11/09/2017	082017	DB CEST PJ	49,00 D	5.027,47 C
11/09/2017	202100	DB AT LUZ	37,80 D	4.989,67 C
11/09/2017	202100	DB AT LUZ	61,81 D	4.927,86 C
11/09/2017	202100	DB AT LUZ	98,22 D	4.829,64 C
11/09/2017	202100	DB AT LUZ	32,06 D	4.797,58 C
11/09/2017	202100	DB AT LUZ	29,45 D	4.768,13 C
11/09/2017	202100	DB AT LUZ	56,84 D	4.711,29 C
11/09/2017	202100	DB AT LUZ	52,79 D	4.658,50 C
11/09/2017	202100	DB AT LUZ	65,64 D	4.592,86 C
11/09/2017	202100	DB AT LUZ	51,48 D	4.541,38 C
11/09/2017	202100	DB AT LUZ	50,13 D	4.491,25 C
11/09/2017	202100	DB AT LUZ	40,49 D	4.450,76 C
11/09/2017	202100	DB AT LUZ	236,13 D	4.214,63 C
11/09/2017	202100	DB AT LUZ	52,72 D	4.161,91 C
11/09/2017	202100	DB AT LUZ	102,28 D	4.059,63 C
11/09/2017	202100	DB AT LUZ	49,53 D	4.010,10 C
11/09/2017	202100	DB AT LUZ	40,53 D	3.969,57 C
11/09/2017	202100	DB AT LUZ	29,45 D	3.940,12 C
11/09/2017	110917	COB BX 063	252,00 D	3.688,12 C
11/09/2017	110917	COB COMPE	47,20 D	3.640,92 C
11/09/2017	110917	COB LOTERI	47,20 D	3.593,72 C
11/09/2017	110917	COB C BANC	5,90 D	3.587,82 C
11/09/2017	110917	COB INTERN	5,90 D	3.581,92 C
11/09/2017	110917	COB AUTOAT	5,90 D	3.576,02 C
12/09/2017	080917	COB INTERN	390,99 C	3.967,01 C
12/09/2017	080917	COB COMPE	1.978,40 C	5.945,41 C
12/09/2017	080917	COB LOT DH	3.441,32 C	9.386,73 C
12/09/2017	080917	COB C BANC	170,50 C	9.557,23 C
12/09/2017	080917	COB AUTOAT	697,90 C	10.255,13 C
12/09/2017	902322	CHEQUE SAC	3.535,12 D	6.720,01 C
12/09/2017	120917	COB COMPE	64,90 D	6.655,11 C
12/09/2017	120917	COB LOTERI	106,20 D	6.548,91 C
12/09/2017	120917	COB C BANC	5,90 D	6.543,01 C
12/09/2017	120917	COB INTERN	11,80 D	6.531,21 C
12/09/2017	120917	COB AUTOAT	23,60 D	6.507,61 C
13/09/2017	110917	COB AUTOAT	533,55 C	7.041,16 C
13/09/2017	110917	COB COMPE	5.446,55 C	12.487,71 C
13/09/2017	110917	COB AGN DH	348,35 C	12.836,06 C
13/09/2017	110917	COB LOT DH	2.939,46 C	15.775,52 C
13/09/2017	110917	COB INTERN	592,35 C	16.367,87 C
13/09/2017	902325	CHEQ COMP	3.602,07 D	12.765,80 C
13/09/2017	130917	COB INTERN	17,70 D	12.748,10 C
13/09/2017	130917	COB LOTERI	94,40 D	12.653,70 C
13/09/2017	130917	COB AGENC	11,80 D	12.641,90 C
13/09/2017	130917	COB COMPE	171,10 D	12.470,80 C
13/09/2017	130917	COB AUTOAT	17,70 D	12.453,10 C
14/09/2017	120917	COB LOT DH	1.439,30 C	13.892,40 C
14/09/2017	902331	CHEQUE SAC	500,00 D	13.392,40 C
14/09/2017	902332	CHEQUE SAC	1.650,00 D	11.742,40 C
14/09/2017	902333	CHEQUE SAC	750,00 D	10.992,40 C
14/09/2017	902334	CHEQUE SAC	5.911,62 D	5.080,78 C
14/09/2017	902329	CHEQ COMP	1.688,28 D	3.392,50 C
14/09/2017	902330	CHEQ COMP	1.000,00 D	2.392,50 C
14/09/2017	302200	DB AT FONE	299,95 D	2.092,55 C
14/09/2017	140917	COB LOTERI	41,30 D	2.051,25 C
15/09/2017	130917	COB LOT DH	348,12 C	2.399,37 C
15/09/2017	902327	CHEQ COMP	200,00 D	2.199,37 C
15/09/2017	150917	COB LOTERI	11,80 D	2.187,57 C
18/09/2017	140917	COB AUTOAT	189,14 C	2.376,71 C
18/09/2017	140917	COB LOT DH	355,72 C	2.732,43 C
18/09/2017	902336	CHEQUE SAC	1.836,52 D	895,91 C
18/09/2017	180917	COB LOTERI	11,80 D	884,11 C
18/09/2017	180917	COB AUTOAT	5,90 D	878,21 C
19/09/2017	150917	COB AGN DH	189,20 C	1.067,41 C
19/09/2017	150917	COB LOT DH	622,54 C	1.689,95 C
19/09/2017	902335	CHEQ COMP	100,00 D	1.589,95 C
19/09/2017	190917	COB AGENC	5,90 D	1.584,05 C
19/09/2017	190917	COB LOTERI	17,70 D	1.566,35 C
20/09/2017	180917	COB LOT DH	764,88 C	2.331,23 C
20/09/2017	005941	CRED TEV	12.000,00 C	14.331,23 C
20/09/2017	902339	CHEQUE SAC	3.400,00 D	10.931,23 C
20/09/2017	902340	CHEQUE SAC	7.203,98 D	3.727,25 C
20/09/2017	902341	CHEQUE SAC	250,00 D	3.477,25 C
20/09/2017	902326	CHEQ COMP	270,00 D	3.207,25 C
20/09/2017	200917	COB LOTERI	23,60 D	3.183,65 C
21/09/2017	190917	COB LOT DH	363,80 C	3.547,45 C
21/09/2017	062694	CRED TEV	56,50 C	3.603,95 C
21/09/2017	902323	CHEQ COMP	127,00 D	3.476,95 C
21/09/2017	902338	CHEQ COMP	1.000,00 D	2.476,95 C
21/09/2017	210917	COB LOTERI	11,80 D	2.465,15 C
22/09/2017	200917	COB LOT DH	553,32 C	3.018,47 C
22/09/2017	902328	CHEQ COMP	599,00 D	2.419,47 C
22/09/2017	902337	CHEQ COMP	475,00 D	1.944,47 C
22/09/2017	220917	COB LOTERI	17,70 D	1.926,77 C
25/09/2017	210917	COB LOT DH	379,12 C	2.305,89 C
25/09/2017	202100	DB AT LUZ	123,99 D	2.181,90 C
25/09/2017	250917	COB LOTERI	11,80 D	2.170,10 C
25/09/2017	000000	MANUT CTA	42,00 D	2.128,10 C
26/09/2017	220917	COB LOT DH	189,62 C	2.317,72 C
26/09/2017	902343	CHEQUE SAC	290,00 D	2.027,72 C
26/09/2017	260917	COB LOTERI	5,90 D	2.021,82 C
27/09/2017	250917	COB LOT DH	349,32 C	2.371,14 C
27/09/2017	270917	COB LOTERI	11,80 D	2.359,34 C
28/09/2017	260917	COB LOT DH	182,21 C	2.541,55 C
28/09/2017	280917	COB LOTERI	5,90 D	2.535,65 C
29/09/2017	270917	COB LOT DH	182,26 C	2.717,91 C
29/09/2017	011794	CRED TEV	15.000,00 C	17.717,91 C
29/09/2017	902344	CHEQUE SAC	100,00 D	17.617,91 C
29/09/2017	902353	CHEQUE SAC	1.225,73 D	16.392,18 C
29/09/2017	902354	CHEQUE SAC	2.004,15 D	14.388,03 C
29/09/2017	902355	CHEQUE SAC	495,84 D	13.892,19 C
29/09/2017	902356	CHEQUE SAC	600,00 D	13.292,19 C
29/09/2017	290917	COB LOTERI	5,90 D	13.286,29 C

Lançamentos do Dia
Data Mov.	Nr. Doc.	Histórico	Valor	Saldo
03/10/2017	902350	CHEQUE SAC	700,00 D	12.286,29 C
 
 

SAC CAIXA: 0800 726 0101
Pessoas com deficiência auditiva: 0800 726 2492
Ouvidoria: 0800 725 7474
Help Desk CAIXA: 0800 726 0104

